rank,name,category,primary_domain,region,archetype,observed_site_structure,seo_keywords,traffic_sources,landing_page_pattern,conversion_path,product_tools,technical_architecture_inference,strategic_takeaway,source
19,CTS International Logistics,Freight Forwarder,ctscargo.com,China,China forwarder,"International air/ocean/rail, cross-border logistics","china freight forwarder, international logistics china","Brand, B2B search, referrals",China network proof,contact sales,"tracking, cargo services",Corporate CMS,"English depth is often weak among China competitors, creating opportunity.",Armstrong & Associates Top 25 2026 plus official site review
20,AWOT Global Logistics,Freight Forwarder,awotglobal.com,China,China global forwarder,"Air, ocean, rail, cross-border ecommerce, project cargo","china air freight, project cargo china","Brand, niche organic, partner referrals",service capability pages,RFQ/contact,"tracking, network services",Corporate CMS,China forwarders under-invest in high-intent tool content.,Armstrong & Associates Top 25 2026 plus official site review
21,CIMC Wetrans,Freight Forwarder,wetrans.com,China,integrated logistics,"Project logistics, multimodal, supply chain, equipment-backed logistics","project cargo logistics, multimodal transport","Brand, China B2B, referrals",industrial capability proof,contact,"tracking, logistics systems",Corporate CMS,Industrial cargo credibility can be stronger than generic forwarding claims.,Armstrong & Associates Top 25 2026 plus official site review
22,Scan Global Logistics,Freight Forwarder,scangl.com,Denmark,global forwarder,"Air/ocean/road, project logistics, aid & relief, verticals","project logistics, aid relief logistics","Brand, organic, referral",specialist verticals + cases,contact experts,tracking/customer portal,Enterprise CMS,Humanitarian and project cargo pages show how niches win.,Armstrong & Associates Top 25 2026 plus official site review
23,Rhenus Logistics,Freight Forwarder,rhenus.group,Germany,global logistics,"Warehousing, freight, port, customs, high tech, healthcare","rhenus logistics, warehousing, freight forwarding","Brand/direct, organic, local pages",service + industry taxonomy,"contact, request quote","tracking, warehouse systems","Enterprise CMS, multi-domain group",Sub-brand taxonomy can support many vertical sites.,Armstrong & Associates Top 25 2026 plus official site review
24,Logwin,Freight Forwarder,logwin-logistics.com,Luxembourg,global logistics,"Air/ocean, solutions, industry verticals","air freight logistics, fashion logistics","Brand, organic",industry service pages,contact,tracking/customer portal,Corporate CMS,Focused sector pages work even without giant content volume.,Armstrong & Associates Top 25 2026 plus official site review
25,Savino Del Bene,Freight Forwarder,savino-delbene.com,Italy,global forwarder,"Air/ocean/road, project cargo, wine/fashion/industrial verticals","international freight forwarder, project cargo","Brand, organic, office referrals",service + sector credibility,contact offices,"tracking, customer portal",Corporate CMS,Vertical trust pages convert better than broad service lists.,Armstrong & Associates Top 25 2026 plus official site review
26,DHL Supply Chain,Logistics Company,dhl.com,Germany,contract logistics giant,"Warehousing, transport, real estate, sectors, insights","contract logistics, warehousing solutions, supply chain management","Brand/direct, organic, enterprise referrals",industry + capability pages,"contact sales, account login","warehouse management, visibility, robotics content",Enterprise CMS and portal,Operational case studies win enterprise trust.,Official site/category research
27,FedEx Logistics,Logistics Company,fedex.com,USA,parcel/logistics integrator,"Shipping, logistics, customs, trade networks","customs brokerage, freight forwarding, trade solutions","Direct, organic, account users",task-first ship/track pages,"ship, track, create account","tracking, rate tools, FedEx APIs",Enterprise platform with developer APIs,Task utilities keep repeat traffic high.,Official site/category research
28,UPS,Logistics Company,ups.com,USA,integrator,"Ship, track, business solutions, supply chain, APIs","shipping, tracking, freight, logistics","Massive direct, organic, account portal",utility-first home with ship/track,"ship now, get quote, login","shipping calculator, tracking, APIs",Enterprise app platform,"Homepage as tool surface, not brochure.",Official site/category research
29,DB Schenker,Logistics Company,dbschenker.com,Germany,global logistics,"Land/ocean/air/contract logistics, trade lanes, careers","global logistics, air freight, contract logistics","Brand/direct, organic, local domains",service + trade lane content,"get quote, contact, eSchenker login","tracking, eSchenker portal",Enterprise CMS + portal,Trade lane pages can be scaled globally.,Official site/category research
30,GXO Logistics,Logistics Company,gxo.com,USA,contract logistics,"Warehouse outsourcing, automation, retail/ecommerce, reverse logistics","contract logistics, warehouse automation","Brand, organic, investor/referral",automation proof + sector pages,contact sales,"automation/robotics content, case studies",Corporate CMS,Automation narrative creates SaaS-like authority.,Official site/category research
31,XPO Logistics,Logistics Company,xpo.com,USA,LTL/transport,"LTL, managed transport, truck brokerage, technology","ltl freight, freight broker, managed transportation","Direct shipper traffic, organic, portal",shipper self-service + network proof,"quote, track, login","LTL quote, tracking, dashboard",Enterprise web app and portal,Pricing and tracking tools are SEO entry points.,Official site/category research
32,Ryder Supply Chain,Logistics Company,ryder.com,USA,3PL/fleet,"Dedicated transport, warehousing, e-commerce fulfillment, fleet","supply chain solutions, dedicated transportation","Brand, organic, enterprise referrals",sector case studies,contact sales,"transport dashboards, fleet tech",Corporate CMS + app layer,Fleet authority supports logistics lead gen.,Official site/category research
33,CJ Logistics,Logistics Company,cjlogistics.com,Korea,contract logistics,"Fulfillment, transportation, global forwarding, technology","fulfillment logistics, contract logistics","Brand, regional organic",capability + innovation proof,contact,"warehouse systems, tracking",Corporate CMS,Fulfillment content attracts ecommerce traffic.,Official site/category research
34,NFI Industries,Logistics Company,nfiindustries.com,USA,3PL,"Distribution, transportation, drayage, intermodal, brokerage","3PL warehousing, drayage, transportation","Brand, organic, partner referrals",capability pages + customer stories,contact sales,"transport management, warehouse solutions",Corporate CMS,Drayage/intermodal niches are powerful long-tail clusters.,Official site/category research
35,Penske Logistics,Logistics Company,penskelogistics.com,USA,3PL,"Transportation management, warehousing, lead logistics","logistics management, transportation management","Brand, organic, enterprise referrals",service + industry pages,request consultation,"control tower, analytics content",Corporate CMS,Lead-logistics pages educate complex buyers.,Official site/category research
36,Lineage Logistics,Logistics Company,lineagelogistics.com,USA,cold chain,"Cold storage, transport, food logistics, automation","cold chain logistics, cold storage warehouse","Brand, organic, industry referrals",specialist infrastructure proof,contact sales,"facility finder, warehouse network",Corporate CMS,Specialized infrastructure deserves its own authority site.,Official site/category research
37,Americold,Logistics Company,americold.com,USA,cold chain,"Temperature-controlled warehousing, transportation, network","temperature controlled logistics, cold storage","Brand, organic, food industry referrals",network finder + service pages,contact/sales,"facility locator, tracking",Corporate CMS,Facility/location SEO converts high-intent traffic.,Official site/category research
38,Noatum Logistics,Logistics Company,noatumlogistics.com,Spain/UAE,global logistics,"Freight, contract logistics, project cargo, customs","project cargo logistics, customs brokerage","Brand, organic, DP World referrals",service + region pages,contact,"tracking, customer area",Corporate CMS,Parent ecosystem can feed authority and links.,Official site/category research
39,Bollore Logistics,Logistics Company,bollore-logistics.com,France,Africa/project specialist,"Freight forwarding, Africa logistics, project cargo, energy","africa logistics, project cargo africa","Brand, organic, Africa referrals",region + sector authority,contact experts,"tracking, control tower",Enterprise CMS,Africa logistics pages are strategically valuable for EASCargo.,Official site/category research
40,Kerry Logistics,Logistics Company,kerrylogistics.com,Hong Kong,Asia logistics,"Integrated logistics, ecommerce, express, freight","asia logistics, ecommerce fulfillment","Brand, organic, partner referrals",Asia network proof,contact,"tracking, fulfillment systems",Corporate CMS,Asia authority pairs well with China export content.,Official site/category research
41,Toll Group,Logistics Company,tollgroup.com,Australia,logistics/forwarder,"Global forwarding, government/defence, warehousing, transport","global forwarding, defense logistics","Brand, organic, regional referrals",sector credibility pages,contact,"tracking, customer portal",Corporate CMS,Government/project cargo messaging raises trust threshold.,Official site/category research
42,Aramex,Logistics Company,aramex.com,UAE,express/logistics,"Courier, freight, logistics, ecommerce, shop & ship","middle east logistics, express freight, ecommerce logistics","Direct app users, organic, regional referrals",self-service shipping + business pages,"ship, track, request quote","tracking, shipping calculator, APIs",Web app plus mobile ecosystem,Middle East route tools should be separate cluster.,Official site/category research
43,DP World Logistics,Logistics Company,dpworld.com,UAE,ports/logistics integrator,"Ports, logistics, economic zones, freight forwarding","global logistics, port logistics, supply chain","Brand/direct, referrals from port ecosystem",infrastructure + service pages,contact sales,"tracking, trade finance content",Enterprise CMS,Infrastructure credibility can validate complex cargo movement.,Official site/category research
44,J.B. Hunt,Logistics Company,jbhunt.com,USA,transport/3PL,"Intermodal, truckload, brokerage, final mile, managed logistics","intermodal shipping, freight brokerage","Direct shipper traffic, organic",capacity + technology proof,quote/login,"J.B. Hunt 360, tracking",Platform + CMS,Digital marketplace positioning drives repeat user behavior.,Official site/category research
45,Schneider Logistics,Logistics Company,schneider.com,USA,transport/logistics,"Truckload, intermodal, brokerage, logistics management","truckload logistics, intermodal freight","Brand, organic, shipper portal",mode landing pages,"quote, login","freight quote, tracking",Corporate CMS + portal,Mode-specific tools are a scalable content base.,Official site/category research
46,Knight-Swift Logistics,Logistics Company,knight-swift.com,USA,transport/logistics,"Truckload, logistics, intermodal, brokerage","freight logistics, truckload carrier","Brand, organic",capacity/network proof,contact/quote,load tracking/customer portal,Corporate CMS,Asset-network proof reassures high-risk shippers.,Official site/category research
47,Dimerco Express Group,Logistics Company,dimerco.com,Taiwan,Asia logistics,"Air/ocean freight, contract logistics, China/Asia network","asia freight forwarder, china air freight","Brand, organic, Asia referrals",trade lane + service pages,contact experts,"tracking, visibility",Corporate CMS,Asia-to-global trade lane SEO is a direct EASCargo play.,Official site/category research
48,Omni Logistics,Logistics Company,omnilogistics.com,USA,specialty logistics,"High-touch logistics, aerospace, medical, technology","aerospace logistics, high tech logistics","Brand, organic, sector referrals",specialized sector pages,contact,"tracking, managed services",Corporate CMS,Specialty cargo content attracts qualified enterprise leads.,Official site/category research
49,AIT Worldwide Logistics,Logistics Company,aitworldwide.com,USA,global forwarder/3PL,"Air/ocean/ground, white glove, life sciences, retail","white glove logistics, air freight forwarding","Brand, organic",service + vertical credibility,quote/contact,"tracking, customer portal",Corporate CMS,White-glove and life-science pages show value positioning.,Official site/category research
50,SEKO Logistics,Logistics Company,sekologistics.com,USA,global logistics,"Ecommerce logistics, freight forwarding, omnichannel fulfillment","ecommerce logistics, global freight forwarding","Brand, organic, ecommerce referrals",solution-led pages,contact sales,"tracking, delivery tech",Corporate CMS,Ecommerce logistics content captures adjacent demand.,Official site/category research
51,Emirates SkyCargo,Airline Cargo,skycargo.com,UAE,global air cargo carrier,"Book, track, quote, availability, products, network, fuel surcharge","air cargo booking, cargo tracking, air freight quote","Direct, agent portal, organic",utility-first portal with product cargo pages,"quote, availability, book, track","tracking, quotation, availability, fuel surcharge calculator","Carrier portal, booking engine, API/backend integration","Carrier sites prove tools are expected, not optional.",Official cargo sites plus IATA category validation
52,Qatar Airways Cargo,Airline Cargo,qrcargo.com,Qatar,global air cargo carrier,"Schedule, book, track, products, digital lounge, network","air cargo schedule, cargo booking, pharma air cargo","Direct agents, organic, portal",booking/search widgets + product pages,"book, track, schedule search","schedule search, booking, tracking",Carrier portal and web app,Schedule/availability pages should inspire freight tools.,Official cargo sites plus IATA category validation
53,Lufthansa Cargo,Airline Cargo,lufthansa-cargo.com,Germany,global air cargo carrier,"eServices, network, products, hubs, sustainability, APIs","air cargo tracking, ebooking, eFreight","Direct forwarder portal, organic",eServices hub + product pages,"eBooking, eTracking, eFreight","eBooking, eTracking, smartBooking, APIs","Portal, API developer ecosystem",API docs and route data create developer traffic.,Official cargo sites plus IATA category validation
54,Turkish Cargo,Airline Cargo,turkishcargo.com,Turkey,global air cargo carrier,"Products, services, network, charter, digital tools","turkish cargo tracking, air cargo charter, pharma cargo","Direct, organic, agency referrals",network + special cargo pages,"quote charter, track, contact","tracking, booking, CargoWise integration","Carrier portal, integrations",Special cargo pages map well to EASCargo oversized/project cargo.,Official cargo sites plus IATA category validation
55,Cathay Cargo,Airline Cargo,cathaycargo.com,Hong Kong,air cargo carrier,"Products, solutions, network, schedule, tracking","cathay cargo tracking, hong kong air cargo","Direct, organic, forwarder portal",product + route credibility,book/track/contact,"tracking, e-booking, schedule",Carrier portal,Hong Kong/China gateway content matters for exports.,Official cargo sites plus IATA category validation
56,Singapore Airlines Cargo,Airline Cargo,singaporeair.com/cargo,Singapore,air cargo carrier,"Cargo services, products, network, tracking, schedules","sia cargo tracking, singapore air cargo","Direct, organic",carrier product pages,book/track/contact,"tracking, schedule, booking",Enterprise carrier site,Product names become search assets.,Official cargo sites plus IATA category validation
57,Korean Air Cargo,Airline Cargo,cargo.koreanair.com,Korea,air cargo carrier,"Tracking, schedule, product, network, e-services","korean air cargo tracking, cargo schedule","Direct portal, organic",portal utility + network,track/book/schedule,"tracking, booking, schedule",Carrier web app,Forwarders should build route tools around carrier hubs.,Official cargo sites plus IATA category validation
58,China Airlines Cargo,Airline Cargo,cargo.china-airlines.com,Taiwan,air cargo carrier,"Tracking, schedule, services, products, network","china airlines cargo tracking, air cargo taiwan","Direct, organic",tracking-led utility,"track, schedule, contact","tracking, schedule",Carrier portal,Tracking keywords show massive utility demand.,Official cargo sites plus IATA category validation
59,EVA Air Cargo,Airline Cargo,evaair.com/cargo,Taiwan,air cargo carrier,"Cargo services, schedule, tracking, e-services","eva air cargo tracking, cargo schedule","Direct, organic",utility + product pages,track/book/contact,"tracking, booking, schedule",Carrier portal,Airline schedule/search terms can become comparison tools.,Official cargo sites plus IATA category validation
60,Air France KLM Martinair Cargo,Airline Cargo,afklcargo.com,Netherlands/France,air cargo carrier,"MyCargo, book, track, quote, products, network","air france klm cargo tracking, air cargo booking","Direct portal, organic",digital portal + product pages,login/book/track,"MyCargo, quote, track",Carrier web app,Digital account area is key for repeat users.,Official cargo sites plus IATA category validation
61,Cargolux,Airline Cargo,cargolux.com,Luxembourg,all-cargo airline,"Products, network, schedule, tracking, charter","cargolux tracking, air cargo charter","Direct, organic",specialist cargo authority,book/track/contact,"tracking, schedule, charter request",Corporate portal,All-cargo airline content helps project cargo credibility.,Official cargo sites plus IATA category validation
62,Atlas Air,Airline Cargo,atlasair.com,USA,air cargo/charter,"Aircraft, charter, ACMI, cargo solutions, network","air cargo charter, ACMI cargo airline","Brand, organic, B2B referrals",fleet capability proof,contact sales,"charter inquiry, fleet pages",Corporate CMS,Fleet capability pages inspire aircraft-capacity explainers.,Official cargo sites plus IATA category validation
63,Polar Air Cargo,Airline Cargo,polaraircargo.com,USA,air cargo carrier,"Schedules, network, tracking, services","polar air cargo tracking, cargo schedule","Direct, organic",schedule/track utility,track/contact,"tracking, schedule",Carrier portal,Lean utility pages can still rank for branded logistics intent.,Official cargo sites plus IATA category validation
64,FedEx Express,Airline Cargo,fedex.com,USA,integrator airline,"Ship/track/rate, international services, customs tools","fedex tracking, international shipping, freight","Huge direct, organic, app/API users",task-first utility,"ship, track, rate, account","tracking, rates, APIs, customs docs",Enterprise platform and APIs,Utility density drives organic and direct.,Official cargo sites plus IATA category validation
65,UPS Airlines,Airline Cargo,ups.com,USA,integrator airline,"Shipping/tracking/rates, freight, international tools","ups tracking, international freight, shipping quote","Huge direct, organic, app/API",tool-first flows,"ship, track, quote","tracking, rates, APIs",Enterprise platform,Tools beat brochures for repeat demand.,Official cargo sites plus IATA category validation
66,DHL Aviation,Airline Cargo,dhl.com,Germany,integrator airline,"Express logistics, air network, tracking, shipping tools","dhl express tracking, air freight","Direct, organic, app users",brand utility + network proof,ship/track/quote,"tracking, ship tools, APIs",Enterprise platform,Integrated networks convert through self-service.,Official cargo sites plus IATA category validation
67,Etihad Cargo,Airline Cargo,etihadcargo.com,UAE,air cargo carrier,"Products, network, booking, tracking, charter","etihad cargo tracking, air cargo Abu Dhabi","Direct, organic",product-led carrier pages,"book, track, contact","tracking, booking, product tools",Carrier portal,Gulf carriers show Middle East hub opportunity.,Official cargo sites plus IATA category validation
68,Saudia Cargo,Airline Cargo,saudiacargo.com,Saudi Arabia,air cargo carrier,"Products, network, charter, tracking, e-services","saudia cargo tracking, middle east air cargo","Direct, organic",hub/network pages,track/book/contact,"tracking, booking, schedule",Carrier portal,Saudi/Middle East trade lane SEO is underbuilt.,Official cargo sites plus IATA category validation
69,Ethiopian Cargo,Airline Cargo,ethiopiancargo.com,Ethiopia,Africa air cargo carrier,"Network, cargo services, pharma, charter, tracking","ethiopian cargo tracking, africa air cargo","Direct, organic, Africa trade referrals",Africa network authority,track/book/contact,"tracking, schedule, cargo services",Carrier portal,Africa route authority is core for EASCargo moat.,Official cargo sites plus IATA category validation
70,IAG Cargo,Airline Cargo,iagcargo.com,UK/Spain,air cargo carrier group,"Products, tracking, booking, network, digital services","iag cargo tracking, air freight UK","Direct, organic",product + digital booking,book/track/login,"tracking, booking, rates",Carrier portal,Group carriers rank by product and route clusters.,Official cargo sites plus IATA category validation
71,Air Canada Cargo,Airline Cargo,aircanada.com/cargo,Canada,air cargo carrier,"Products, track, schedule, rates, network","air canada cargo tracking, cargo rates","Direct, organic",tracking/schedule utility,track/book/contact,"tracking, rates, schedule",Carrier portal,Rates/surcharges pages can earn recurring visits.,Official cargo sites plus IATA category validation
72,United Cargo,Airline Cargo,unitedcargo.com,USA,air cargo carrier,"Book, track, schedules, products, news","united cargo tracking, air cargo booking","Direct, organic, forwarder portal",book/track widgets,"book, track, login","booking, tracking, schedules",Carrier web app,Widget-led pages shorten conversion.,Official cargo sites plus IATA category validation
73,American Airlines Cargo,Airline Cargo,aacargo.com,USA,air cargo carrier,"Book, track, schedules, products, facilities","american airlines cargo tracking, cargo booking","Direct, organic",utility-led carrier portal,"book, track, schedule","tracking, booking, schedule",Carrier portal,Facility and route pages build local SEO.,Official cargo sites plus IATA category validation
74,LATAM Cargo,Airline Cargo,latamcargo.com,Latin America,air cargo carrier,"Products, network, tracking, booking, capacity","latam cargo tracking, latin america air cargo","Direct, organic",region route authority,book/track/contact,"tracking, booking, schedule",Carrier portal,Regional expertise pages can become lane clusters.,Official cargo sites plus IATA category validation
75,ANA Cargo,Airline Cargo,anacargo.jp,Japan,air cargo carrier,"International/domestic cargo, tracking, schedule, products","ana cargo tracking, japan air cargo","Direct, organic",product + utility pages,track/book/contact,"tracking, schedule, e-services",Carrier portal,Japan/Asia route pages support specialist SEO.,Official cargo sites plus IATA category validation
76,Flexport,Supply Chain SaaS,flexport.com,USA,digital freight platform,"Platform, freight, customs, fulfillment, order management, resources","freight forwarding software, supply chain visibility, customs automation","Brand, organic, content, referrals, paid",AI platform + proof points + demo/contact,"book demo, get quote, start shipping","instant quotes, command center, SKU visibility, customs automation","Modern SaaS stack, integrations, data platform",AI-native positioning should become EASCargo operating system layer.,Official site/product research and analyst/category pages
77,Freightos,Supply Chain SaaS,freightos.com,Israel/USA,freight marketplace/SaaS,"Marketplace, WebCargo, data, APIs, resources","freight rates, air cargo booking, freight marketplace","Organic, direct, partner referrals, data citations",marketplace proof + product segmentation,"request demo, access platform","instant booking, rate management, Freightos Baltic Index","SaaS platform, APIs, data products",Data products earn links and recurring market traffic.,Official site/product research and analyst/category pages
78,WebCargo by Freightos,Supply Chain SaaS,webcargo.co,Spain/Global,air cargo booking SaaS,"Rate search, booking, airlines, forwarder tools, API","air cargo rates, air cargo booking platform","Direct agents, organic, partner/carrier referrals",tool/product benefit pages,"request access, book rates","rate search, booking, eBookings, integrations",SaaS platform integrated with carriers,Air rate booking tools define user expectations.,Official site/product research and analyst/category pages
79,project44,Supply Chain SaaS,project44.com,USA,supply chain visibility SaaS,"Products, solutions, carriers, industries, resources","supply chain visibility, container tracking, shipment visibility","Organic, direct, referrals, content",category authority + product proof,"book demo, track use cases","container tracking, visibility platform, APIs","SaaS app, APIs, data network",Visibility tools are linkable and repeatable.,Official site/product research and analyst/category pages
80,FourKites,Supply Chain SaaS,fourkites.com,USA,visibility SaaS,"Real-time visibility, yard, carrier network, industries, resources","real time transportation visibility, freight tracking software","Organic, direct, referrals, analyst content",problem/solution pages + reports,book demo,"tracking, ETA, yard management","SaaS platform, APIs, data network",Reports and benchmarks are authority assets.,Official site/product research and analyst/category pages
81,Oracle Transportation Management,Supply Chain SaaS,oracle.com,USA,enterprise TMS,"Transportation management, logistics network, analytics, SCM suite","transportation management system, logistics software","Organic, direct, enterprise sales",suite/product landing pages,"contact sales, request demo","TMS, freight audit, fleet, analytics",Enterprise cloud platform,Big keyword pages need strong product taxonomy.,Official site/product research and analyst/category pages
82,SAP Transportation Management,Supply Chain SaaS,sap.com,Germany,enterprise TMS,"Supply chain logistics, transportation management, ERP integration","transportation management software, SAP TM","Organic, direct, partner ecosystem",enterprise product pages,"request demo, contact sales","TMS, ERP integration, analytics",Enterprise SaaS/cloud,ERP integration content attracts enterprise buyers.,Official site/product research and analyst/category pages
83,Blue Yonder,Supply Chain SaaS,blueyonder.com,USA,supply chain software,"Planning, fulfillment, transportation, warehouse, retail","supply chain software, transportation management","Organic, direct, analyst referrals",suite + industry pages,request demo,"TMS, WMS, planning, control tower",Enterprise SaaS,Analyst content and industry pages build authority.,Official site/product research and analyst/category pages
84,Descartes,Supply Chain SaaS,descartes.com,Canada,logistics software network,"Routing, customs, TMS, trade compliance, ecommerce","customs compliance software, logistics software","Organic, direct, partner referrals",solution taxonomy + resources,contact sales,"TMS, customs, routing, shipment visibility","SaaS network, APIs",Compliance tools create high-commercial long-tail demand.,Official site/product research and analyst/category pages
85,Manhattan Associates,Supply Chain SaaS,manh.com,USA,supply chain commerce SaaS,"Transportation, warehouse, order management, omnichannel","transportation management system, warehouse management","Organic, direct, analyst referrals",platform proof + industry pages,request demo,"Active TM, WMS, OMS",Enterprise SaaS,Commerce/logistics convergence creates adjacent traffic.,Official site/product research and analyst/category pages
