id,keyword,category,intent,estimated_monthly_search_volume,competition,commercial_value_1_5,suggested_page_type,priority_cluster,notes
29,air freight from china to algeria,Commercial keywords,Buy / RFQ,700,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
30,air freight from china to israel,Commercial keywords,Buy / RFQ,730,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
31,air freight from china to india,Commercial keywords,Buy / RFQ,580,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
32,air freight from china to indonesia,Commercial keywords,Buy / RFQ,620,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
33,air freight from china to vietnam,Commercial keywords,Buy / RFQ,650,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
34,air freight from china to thailand,Commercial keywords,Buy / RFQ,690,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
35,air freight from china to malaysia,Commercial keywords,Buy / RFQ,730,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
36,air freight from china to singapore,Commercial keywords,Buy / RFQ,570,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
37,air freight from china to australia,Commercial keywords,Buy / RFQ,610,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
38,air freight from china to new zealand,Commercial keywords,Buy / RFQ,650,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
39,air freight from china to chile,Commercial keywords,Buy / RFQ,690,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
40,air freight from china to peru,Commercial keywords,Buy / RFQ,720,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
41,air freight from china to los angeles,Commercial keywords,Buy / RFQ,760,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
42,air freight from china to new york,Commercial keywords,Buy / RFQ,610,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
43,air freight from china to chicago,Commercial keywords,Buy / RFQ,640,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
44,air freight from china to dallas,Commercial keywords,Buy / RFQ,680,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
45,air freight from china to miami,Commercial keywords,Buy / RFQ,720,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
46,air freight from china to toronto,Commercial keywords,Buy / RFQ,750,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
47,air freight from china to vancouver,Commercial keywords,Buy / RFQ,600,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
48,air freight from china to mexico city,Commercial keywords,Buy / RFQ,640,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
49,air freight from china to sao paulo,Commercial keywords,Buy / RFQ,680,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
50,air freight from china to frankfurt,Commercial keywords,Buy / RFQ,710,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
51,air freight from china to amsterdam,Commercial keywords,Buy / RFQ,750,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
52,air freight from china to paris,Commercial keywords,Buy / RFQ,600,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
53,air freight from china to milan,Commercial keywords,Buy / RFQ,630,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
54,air freight from china to madrid,Commercial keywords,Buy / RFQ,670,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
55,air freight from china to london,Commercial keywords,Buy / RFQ,710,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
56,air freight from china to dubai,Commercial keywords,Buy / RFQ,740,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
57,air freight from china to riyadh,Commercial keywords,Buy / RFQ,590,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
58,air freight from china to jeddah,Commercial keywords,Buy / RFQ,630,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
59,air freight from china to doha,Commercial keywords,Buy / RFQ,670,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
60,air freight from china to istanbul,Commercial keywords,Buy / RFQ,700,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
61,air freight from china to lagos,Commercial keywords,Buy / RFQ,740,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
62,air freight from china to accra,Commercial keywords,Buy / RFQ,590,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
63,air freight from china to nairobi,Commercial keywords,Buy / RFQ,620,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
64,air freight from china to johannesburg,Commercial keywords,Buy / RFQ,660,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
65,air freight from china to addis ababa,Commercial keywords,Buy / RFQ,700,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
66,air freight from china to cairo,Commercial keywords,Buy / RFQ,730,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
67,air freight from china to casablanca,Commercial keywords,Buy / RFQ,580,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
68,air freight from china to tel aviv,Commercial keywords,Buy / RFQ,620,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
69,air freight from china to mumbai,Commercial keywords,Buy / RFQ,660,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
70,air freight from china to delhi,Commercial keywords,Buy / RFQ,690,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
71,air freight from china to jakarta,Commercial keywords,Buy / RFQ,730,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
72,air freight from china to bangkok,Commercial keywords,Buy / RFQ,580,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
73,air freight from china to kuala lumpur,Commercial keywords,Buy / RFQ,610,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
74,air freight from china to sydney,Commercial keywords,Buy / RFQ,650,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
75,air freight from china to melbourne,Commercial keywords,Buy / RFQ,690,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
76,air freight from shanghai to usa,Commercial keywords,Buy / RFQ,720,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
77,air freight from shanghai to canada,Commercial keywords,Buy / RFQ,450,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
78,air freight from shanghai to mexico,Commercial keywords,Buy / RFQ,300,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
79,air freight from shanghai to brazil,Commercial keywords,Buy / RFQ,330,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
80,air freight from shanghai to germany,Commercial keywords,Buy / RFQ,680,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
81,air freight from shanghai to france,Commercial keywords,Buy / RFQ,410,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
82,air freight from shanghai to italy,Commercial keywords,Buy / RFQ,440,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
83,air freight from shanghai to spain,Commercial keywords,Buy / RFQ,290,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
84,air freight from shanghai to united kingdom,Commercial keywords,Buy / RFQ,330,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
85,air freight from shanghai to netherlands,Commercial keywords,Buy / RFQ,370,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
86,air freight from shanghai to belgium,Commercial keywords,Buy / RFQ,400,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
87,air freight from shanghai to poland,Commercial keywords,Buy / RFQ,440,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
88,air freight from shanghai to uae,Commercial keywords,Buy / RFQ,290,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
89,air freight from shanghai to saudi arabia,Commercial keywords,Buy / RFQ,320,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
90,air freight from shanghai to qatar,Commercial keywords,Buy / RFQ,360,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
91,air freight from shanghai to kuwait,Commercial keywords,Buy / RFQ,400,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
92,air freight from shanghai to oman,Commercial keywords,Buy / RFQ,430,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
93,air freight from shanghai to bahrain,Commercial keywords,Buy / RFQ,280,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
94,air freight from shanghai to turkey,Commercial keywords,Buy / RFQ,320,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
95,air freight from shanghai to nigeria,Commercial keywords,Buy / RFQ,360,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
96,air freight from shanghai to ghana,Commercial keywords,Buy / RFQ,390,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
97,air freight from shanghai to kenya,Commercial keywords,Buy / RFQ,430,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
98,air freight from shanghai to south africa,Commercial keywords,Buy / RFQ,280,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
99,air freight from shanghai to ethiopia,Commercial keywords,Buy / RFQ,310,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
100,air freight from shanghai to tanzania,Commercial keywords,Buy / RFQ,350,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
101,air freight from shanghai to uganda,Commercial keywords,Buy / RFQ,390,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
102,air freight from shanghai to egypt,Commercial keywords,Buy / RFQ,420,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
103,air freight from shanghai to morocco,Commercial keywords,Buy / RFQ,270,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
104,air freight from shanghai to algeria,Commercial keywords,Buy / RFQ,310,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
105,air freight from shanghai to israel,Commercial keywords,Buy / RFQ,350,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
106,air freight from shanghai to india,Commercial keywords,Buy / RFQ,380,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
107,air freight from shanghai to indonesia,Commercial keywords,Buy / RFQ,420,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
108,air freight from shanghai to vietnam,Commercial keywords,Buy / RFQ,270,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
109,air freight from shanghai to thailand,Commercial keywords,Buy / RFQ,300,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
110,air freight from shanghai to malaysia,Commercial keywords,Buy / RFQ,340,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
111,air freight from shanghai to singapore,Commercial keywords,Buy / RFQ,380,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
112,air freight from shanghai to australia,Commercial keywords,Buy / RFQ,410,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
113,air freight from shanghai to new zealand,Commercial keywords,Buy / RFQ,260,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
114,air freight from shanghai to chile,Commercial keywords,Buy / RFQ,300,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
115,air freight from shanghai to peru,Commercial keywords,Buy / RFQ,340,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
116,air freight from shanghai to los angeles,Commercial keywords,Buy / RFQ,680,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
117,air freight from shanghai to new york,Commercial keywords,Buy / RFQ,410,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
118,air freight from shanghai to chicago,Commercial keywords,Buy / RFQ,450,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
119,air freight from shanghai to dallas,Commercial keywords,Buy / RFQ,290,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
120,air freight from shanghai to miami,Commercial keywords,Buy / RFQ,330,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
121,air freight from shanghai to toronto,Commercial keywords,Buy / RFQ,370,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
122,air freight from shanghai to vancouver,Commercial keywords,Buy / RFQ,400,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
123,air freight from shanghai to mexico city,Commercial keywords,Buy / RFQ,440,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
124,air freight from shanghai to sao paulo,Commercial keywords,Buy / RFQ,290,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
125,air freight from shanghai to frankfurt,Commercial keywords,Buy / RFQ,330,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
126,air freight from shanghai to amsterdam,Commercial keywords,Buy / RFQ,360,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
127,air freight from shanghai to paris,Commercial keywords,Buy / RFQ,400,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
128,air freight from shanghai to milan,Commercial keywords,Buy / RFQ,440,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
129,air freight from shanghai to madrid,Commercial keywords,Buy / RFQ,280,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
130,air freight from shanghai to london,Commercial keywords,Buy / RFQ,320,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
131,air freight from shanghai to dubai,Commercial keywords,Buy / RFQ,670,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
132,air freight from shanghai to riyadh,Commercial keywords,Buy / RFQ,390,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
133,air freight from shanghai to jeddah,Commercial keywords,Buy / RFQ,430,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
134,air freight from shanghai to doha,Commercial keywords,Buy / RFQ,280,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
135,air freight from shanghai to istanbul,Commercial keywords,Buy / RFQ,320,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
136,air freight from shanghai to lagos,Commercial keywords,Buy / RFQ,350,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
137,air freight from shanghai to accra,Commercial keywords,Buy / RFQ,390,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
138,air freight from shanghai to nairobi,Commercial keywords,Buy / RFQ,430,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
139,air freight from shanghai to johannesburg,Commercial keywords,Buy / RFQ,270,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
140,air freight from shanghai to addis ababa,Commercial keywords,Buy / RFQ,310,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
141,air freight from shanghai to cairo,Commercial keywords,Buy / RFQ,350,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
142,air freight from shanghai to casablanca,Commercial keywords,Buy / RFQ,380,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
